#List of Sessions
#Cell Manager: manager.unimeditumbiara.local
#Creation Date: 12/05/2026 18:00:01
# Headers
# Session Type	Specification	Status	Mode	Start Time	Start Time_t	End Time	End Time_t	Queuing	Duration	GB Written	# Media	# Errors	# Warnings	# Pending DA	# Running DA	# Failed DA	# Completed DA	# Objects	# Files	Success	Session Owner	Session ID
Backup	IDB OMNIDB	Completed	full	11/05/2026 12:18:49	1778512729	11/05/2026 12:22:05	1778512925	0:00	0:03	0,18	1	0	1	0	0	0	21	21	3136	100%	MANAGER\ADMINISTRATOR@manager.unimeditumbiara.local	2026/05/11-6
Backup	VEAgent VMVC_BKP_VMs_WEEKLY_03	Completed	full	11/05/2026 13:00:06	1778515206	11/05/2026 13:54:39	1778518479	0:00	0:54	236,00	1	0	0	0	0	0	1	1	4	100%	MANAGER\ADMINISTRATOR@manager.unimeditumbiara.local	2026/05/11-7
Backup	FS_FULL_DIARIO_UNIFS01_1	Failed	full	11/05/2026 17:00:05	1778529605	11/05/2026 17:12:31	1778530351	0:00	0:12	0,00	1	3	0	0	0	0	0	0	0	0%	MANAGER\ADMINISTRATOR@manager.unimeditumbiara.local	2026/05/11-8
Backup	IDB OMNIDB	Completed	full	11/05/2026 23:00:06	1778551206	11/05/2026 23:07:11	1778551631	0:00	0:07	0,15	1	0	1	0	0	0	19	19	3135	100%	MANAGER\ADMINISTRATOR@manager.unimeditumbiara.local	2026/05/11-9
Backup	FS_FULL_DIARIO	Completed	full	12/05/2026 00:00:06	1778554806	12/05/2026 01:06:19	1778558779	0:00	1:06	59,59	1	0	0	0	0	0	1	1	425916	100%	MANAGER\ADMINISTRATOR@manager.unimeditumbiara.local	2026/05/12-1
Backup	VEAgent VMVC_BKP_VMs_WEEKLY_04	Completed	full	12/05/2026 09:00:06	1778587206	12/05/2026 09:41:40	1778589700	0:00	0:41	200,00	1	0	0	0	0	0	1	1	4	100%	MANAGER\ADMINISTRATOR@manager.unimeditumbiara.local	2026/05/12-2
Backup	VEAgent VMVC_BKP_VMs_WEEKLY_05	Completed/Failures	full	12/05/2026 11:00:05	1778594405	12/05/2026 11:13:39	1778595219	0:00	0:13	40,00	1	2	0	0	0	1	1	2	8	50%	MANAGER\ADMINISTRATOR@manager.unimeditumbiara.local	2026/05/12-3
Backup	VEAgent VMVC_BKP_VMs_WEEKLY_06	Completed	full	12/05/2026 13:00:05	1778601605	12/05/2026 13:22:48	1778602968	0:00	0:22	90,00	1	0	0	0	0	0	1	1	4	100%	MANAGER\ADMINISTRATOR@manager.unimeditumbiara.local	2026/05/12-4
Backup	FS_FULL_DIARIO	Completed	full	12/05/2026 16:26:17	1778613977	12/05/2026 17:36:40	1778618200	0:00	1:10	59,58	1	0	0	0	0	0	1	1	425837	100%	MANAGER\ADMINISTRATOR@manager.unimeditumbiara.local	2026/05/12-5
Backup	FS_FULL_DIARIO_UNIFS01_1	Failed	full	12/05/2026 17:00:05	1778616005	12/05/2026 17:48:56	1778618936	0:36	0:48	0,00	1	3	2	0	0	0	0	0	0	0%	MANAGER\ADMINISTRATOR@manager.unimeditumbiara.local	2026/05/12-6
